show_name,parent_category,middle_category,child_category,address,tel,google_url
CUJORL,飲食,外国料理,その他,渋谷区桜丘町22-8縣ビル1F,03-5784-5818,
クライネヒュッテ,飲食,居酒屋,居酒屋,渋谷区代々木2-11-5アクティブ新宿B1,03-3320-3557,
CLIMB,飲食,居酒屋,ダイニング・バー,渋谷区神宮前1-8-5メナー4F,090-3685-2926,
Crowny cafe Stand,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区代々木1-38-6星野ビル1階,03-6300-7766,https://crownycafe.com/
KURA 渋谷店,飲食,外国料理,イタリア料理,渋谷区渋谷1-24-7渋谷フラットビル1F,03-5466-1010,
Craft Curry Brothers BASE 代々木,飲食,日本料理,その他,渋谷区代々木3丁目13-1Smi:re Yoyogi 1階,090-5683-4466,
Craftbeer gau's,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区神山町16-4ヴィラメトロポリス2A,090-1538-8485,
クラフトビール量り売り TAP&CROWLER 渋谷店,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区宇田川町6-20パラシオン渋谷1階,03-6416-5948,https://www.craft-beers.shop
クラフトビール量り売りTAP&TUMBLER恵比寿店,飲食,居酒屋,ビアホール,渋谷区恵比寿恵比寿MFビル1階,03-6456-3235,https://www.instagram.com/taptumbler_/
CLUB HEAVY SICK,飲食,その他(バー・クラブ・スナックなど),ライブハウス,渋谷区西原2-27-4升本ビルB1,03-3466-1445,
クラブ　リズ,飲食,その他(バー・クラブ・スナックなど),スナック・パブ・キャバレー,渋谷区幡ヶ谷2-13-3幡ヶ谷駅前サンクスビル2F,03-3376-6310,
CREAM PAND BAKERs,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区恵比寿西2-14-10TWONE代官山1F-B,080-4307-0351,
くるり恵比寿,飲食,居酒屋,居酒屋,渋谷区恵比寿西1-7-9恵比寿タイムハウスビル3階,080-1430-0308,
クレープとエスプレッソと,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区神宮前4-13-20,03-6804-6040,
黒毛七厘,飲食,外国料理,その他,渋谷区恵比寿1-23-16第六大浦ビル102,03-6277-3267,
黒豚・地鶏ダイニング　SATSUMA,飲食,居酒屋,居酒屋,渋谷区神宮前1-23-26神宮前123ビル　1階,090-5299-0798,
燻製酒場おりおん,飲食,居酒屋,居酒屋,渋谷区渋谷1-25-10渋谷のんべい横丁,03-6416-3341,
燻製BARオリオン,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区神南1-20-9パークウェイ渋谷2階,03-6416-3341,
クークー,飲食,喫茶店・カフェ,その他,渋谷区西原1-7-8,03-6873-9120,
guenin cafe,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区恵比寿1-22-23,070-1266-6789,
グッドグッドノットバッド,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区宇田川町4番8号昭和ビル101,03-6388-1286,
gudene,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区渋谷2丁目7番13号ネオメット青山2階,03-3407-5450,
Grunge,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区西原2-28-4宮嶋ビルB1-1,03-6407-0240,
GRATIALLIGO,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区代々木1-45-10NJビル1F,03-6276-7668,
Green Sloth,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区神泉町8-12ザ・シティ渋谷神泉3F,03-6416-4559,https://retty.me/area/PRE13/ARE8/SUB804/100001458269/
グルテンフリーおばんざいLL,飲食,日本料理,小料理,渋谷区西原3-4-5山田ビル4F,080-5866-5927,
グルーキー,飲食,居酒屋,居酒屋,渋谷区恵比寿南1-2-6サンポウ恵比寿ビル301,03-6452-2211,
グレイ,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿南2-3-3第一恵比寿マンション地下1階,03-6452-3929,
グレムリン,飲食,居酒屋,ビアホール,渋谷区幡ヶ谷1-3-1ゴールデンセンターB1,03-6300-5723,
軽食喫茶栞,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区幡ヶ谷1-3-1幡ヶ谷ゴールデンマンションB1,03-3374-5993,
ケニックカレー,飲食,外国料理,インド料理,渋谷区宇田川町13番9号KN渋谷2ビル4階,03-6884-2188,
KEBAB CAFE,飲食,外国料理,その他,渋谷区道玄坂2-25-10ベニー道玄坂ビル1階,03-3780-1367,
ケバブボックスジェイ,飲食,外国料理,その他,渋谷区神宮前1-8-8コクシー188ビル1F,03-3470-0706,
煙仄,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区代々木2-39-1エクランYS2 2F,03-6876-8195,
喧騒,飲食,居酒屋,居酒屋,渋谷区道玄坂1-13-2萬全社ビル3F,090-3996-7666,
KKW.softcream,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区富ヶ谷1-8-2代々木ホームズ1階,050-1809-3096,https://softcream-kkw.com/
CASE広尾,飲食,外国料理,その他,渋谷区広尾5-18-2,03-6240-6969,
GET BETTERcoffee&sandwich,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区本町2-7-9,03-6300-6045,
現実逃避,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿1-22-27マガザン恵比寿8階,03-5422-6955,
Kouji＆ko ITALIAN,飲食,外国料理,イタリア料理,渋谷区桜丘町16-13桜丘フロントⅡビル2F,03-6277-5010,
神戸　みなと屋,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区笹塚2-41-20岡田ビル1F,03-6383-3120,
神戸焼肉かんてき　渋谷店,飲食,ステーキ・焼肉,焼肉,渋谷区道玄坂2-7-6,03-3461-1029,
神戸焼肉かんてき　渋谷ハナレ店,飲食,ステーキ・焼肉,焼肉,渋谷区道玄坂2-6-74階,03-6455-0229,
黄金屋渋谷店,飲食,居酒屋,居酒屋,渋谷区道玄坂1-3-11一番ビルB1F,03-5728-8600,
黒牛,飲食,ステーキ・焼肉,焼肉,渋谷区代々木3-1-11パシフィックスクエア代々木,03-6803-1129,https://www.instagram.com/kokugyu_yoyogi/?hl=ja
湖月,飲食,日本料理,日本料理,渋谷区神宮前5-50-10ぴゅあ1,03-3407-3033,https://www.kogetsu.tokyo
KO‐KO,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区道玄坂2-26-5ひまわりビル2F,03-3463-8226,
COCO-agepan,飲食,その他(バー・クラブ・スナックなど),その他,渋谷区神宮前5-17-16101,050-5899-5031,
ココリコ渋谷店,飲食,外国料理,イタリア料理,渋谷区渋谷3-27-11GEMS渋谷5F,03-5485-7621,
こころ-想-,飲食,日本料理,日本料理,渋谷区神宮前6-10-4COMS神宮前1階,03-6427-1336,
こしの,飲食,日本料理,小料理,渋谷区道玄坂2-16-19都路ビル105,03-3770-9888,
コジンシュギ,飲食,居酒屋,ダイニング・バー,渋谷区桜丘町29-5石島ビル201,070-5558-1894,
コスタブラバ,飲食,外国料理,スペイン料理,渋谷区笹塚1-15-5堀内ビル201,03-3465-5255,
COSMOS JUICE TOMIGAYA,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区富ヶ谷2-23-5富ヶ谷アルコーブ1F,03-5772-2765,
東風-cochi-,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区鶯谷町15-10ロイヤルパレス渋谷103,03-6712-7858,https://www.instagram.com/cochi_shibuya
コップンタイガー,飲食,外国料理,東南アジア料理,渋谷区道玄坂1-11-3富士商事ビル3F,03-6277-5246,
コテ・フー,飲食,外国料理,フランス料理,渋谷区鶯谷町8-10代官山トゥエルブ2 / 1階D区画,03-3461-2024,
コトBAR,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区道玄坂2-7-6三喜ハウス地下1階,03-6416-3817,https://www.facebook.com/cotobar.shibuya
此ノ奥,飲食,居酒屋,居酒屋,渋谷区富ヶ谷1-53-3Fビル1階,090-1111-1616,
coの食卓,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区宇田川町5-6渋谷区子育てネウボラ 2F,03-6455-3760,https://www.instagram.com/co_shokutaku/
KOBUSHI BEER LOUNGE & BAR,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区道玄坂2-17-2トップ美奄 2F,050-5373-6373,
駒テラス西参道カフェ,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区代々木四丁目17番4号,03-6300-5721,
小麦っ娘,飲食,居酒屋,その他,渋谷区広尾5-2-25本国ビル3階,03-6450-3956,
米子,飲食,居酒屋,居酒屋,渋谷区幡ヶ谷2-5-3,03-6276-5959,
米福,飲食,日本料理,その他,渋谷区恵比寿西1-4-2川田ビルB1F,03-6416-3855,
COYORI,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区広尾5-14-4広尾SKビル2F,070-8315-0902,
小料理割烹祥じ,飲食,日本料理,日本料理,渋谷区笹塚1-21-6,03-6804-9027,
小料理左門,飲食,居酒屋,居酒屋,渋谷区幡ヶ谷2-47-1小路ビル1-D,03-3374-5680,
小料理 百けん,飲食,居酒屋,居酒屋,渋谷区道玄坂2-20-10豊田ビル1階,03-6455-3808,
CONCENT,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区本町6-34-8,03-3373-8128,
Concerto,飲食,外国料理,イタリア料理,渋谷区上原1-29-5BIT代々木上原B1,03-6804-8794,
Convivio,飲食,外国料理,イタリア料理,渋谷区千駄ヶ谷3-17-12カミムラビル1F,03-6434-7907,https://convivio.jp/
COZYHOUSE,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区道玄坂2-19-11FABRIC渋谷5F,03-6277-5090,
珈琲家族,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区恵比寿南1-2-8雨宮ビル　B1F,03-3710-8124,
珈琲カンタータ,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区幡ヶ谷2-15-9,090-7259-8991,
COFFEE KIOSK ROASTER,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区千駄ヶ谷5-6-7トーエイハイツ1C,03-6274-8411,https://www.instagram.com/coffeekioskroaster/
CoffeeCrevice,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区代々木4-2-9ピーズビル2F,03-3370-7256,
コーヒースタンド烏,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区桜丘町30-15ビバリーヒルズ102,03-6416-3918,
珈琲店トップ　駅前店,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区道玄坂1-4-19,03-3461-1170,
珈琲店トップ　道玄坂店,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区道玄坂2-29-8道玄坂センタービルB1,03-3461-1624,
珈琲風味,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区幡ヶ谷3-57-1MKハイツ,03-3378-6635,
コーヒープンクト,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区代々木2-12-3プーク人形劇場1階,070-6998-5184,
五音,飲食,居酒屋,居酒屋,渋谷区元代々木町3-7大森ビル1階,03-5738-8645,
極樂食堂(極楽食堂)代々木上原店,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区元代々木町9-4山口ビル1階,03-6804-7797,
ごはん・ごはん,飲食,日本料理,その他,渋谷区西原2-30-2,03-3466-4032,
ごんべえ,飲食,居酒屋,居酒屋,渋谷区宇田川町31-3第三田中ビルB1F,03-3461-8383,
歳月,飲食,外国料理,中国料理,渋谷区恵比寿2丁目17-25ジョイナービル 1F,03-6459-3222,
CIDER SHACK,飲食,居酒屋,ビアホール,渋谷区東1-27-9奥山ビル1F,03-6450-5680,
Cidernaut,飲食,居酒屋,ビアホール,渋谷区神山町16-4堀内ビル,03-6407-8848,
サウダーヂな東京,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区上原1-32-5ロイヤルテラス202,03-6407-9989,
魚きんめ,飲食,居酒屋,居酒屋,渋谷区道玄坂2-6-14HYビル2F,080-3427-8752,
魚十二ヶ月,飲食,居酒屋,居酒屋,渋谷区代々木1-58-7ヴェラハイツ代々木104,03-3370-1142,
魚の兆治,飲食,居酒屋,居酒屋,渋谷区幡ヶ谷1-6-3 1F,03-3373-5355,
魚屋　かどはち,飲食,日本料理,寿司,渋谷区代官山町20-9H　ビルディング代官山　1階,03-6455-2501,
魚屋きいもん,飲食,居酒屋,居酒屋,渋谷区恵比寿1-26-15,03-5420-1232,
坂の上ホタル,飲食,外国料理,その他,渋谷区西原3-21-1ホタルビル2F,03-5738-7334,
酒場ガソリン,飲食,居酒屋,居酒屋,渋谷区幡ヶ谷2-9-16ライベストコート幡ヶ谷206,03-3373-5520,
酒場てづか,飲食,居酒屋,居酒屋,渋谷区道玄坂1-13-1Mビル1階,03-6455-0452,
酒場　まるしゑ,飲食,居酒屋,居酒屋,渋谷区西原3-11-6杉本ビルB1,03-6804-9104,
酒場RESISTANCE,飲食,居酒屋,居酒屋,渋谷区幡ヶ谷2-9-19青木ビル2F,03-6383-3205,
SAKUU,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区千駄ヶ谷3-55-18REALGATE Bldg. 1F,03-5422-3069,https://www.jinnan.house
桜ガーデン渋谷 SAKURA GARDEN,飲食,外国料理,その他,渋谷区宇田川町30-5JOWビル5F,03-6427-0545,
sake x oysters BAR　石花,飲食,居酒屋,その他,渋谷区猿楽町6-12,03-6416-1128,
酒とご飯ビオサケダイニングリンリン,飲食,居酒屋,居酒屋,渋谷区道玄坂1-22-11星野ビルB!,080-6542-1892,https://www.instagram.com/biosakedining/
酒と魚の隠れ家兼六,飲食,居酒屋,居酒屋,渋谷区幡ヶ谷2-13-4定石ビル地下1階,03-6276-5175,https://hatagaya-kenroku.com
さけとさかなばとん,飲食,居酒屋,居酒屋,渋谷区笹塚1-24-4三好ビル1F,03-5790-9417,
酒とつまみと〆蕎麦よし川,飲食,日本料理,そば・うどん,渋谷区西原2-28-4宮嶋ビル1階,080-4608-2024,
酒とめし osacu,飲食,居酒屋,居酒屋,渋谷区幡ヶ谷1-33-6ビューハイム幡ヶ谷101,080-6904-0039,
酒と焼肉　ニュートミー,飲食,ステーキ・焼肉,焼肉,渋谷区恵比寿南1-1-3今鉾ビル1階,03-5708-5129,
酒処 おやっとさぁ。,飲食,居酒屋,居酒屋,渋谷区恵比寿西1-7-15エビス加藤ビル2階,03-6416-5283,
酒処小林,飲食,居酒屋,居酒屋,渋谷区西原3-6-1,03-6320-9996,
酒処　富川,飲食,居酒屋,居酒屋,渋谷区道玄坂1-5-5藤木ビルB1,03-5990-4880,
sakeba,飲食,居酒屋,ダイニング・バー,渋谷区渋谷3丁目15-2F93 Shibuya2  7F,03-6427-9142,
酒みさわ,飲食,居酒屋,居酒屋,渋谷区神泉町9-6ファインクレスト渋谷神泉,03-3461-1427,
笹吟,飲食,日本料理,日本料理,渋谷区上原1-32-15 第二小林ビル1F,03-5454-3715,
SASASA dining,飲食,居酒屋,ダイニング・バー,渋谷区笹塚3-19-5大泉商店ビル102,03-6300-0667,
ささづか酒場　はだか電球,飲食,居酒屋,居酒屋,渋谷区笹塚1-56-1NH駅前ビル2F,03-5352-0141,
笹塚ソーススタンド,飲食,居酒屋,居酒屋,渋谷区笹塚2丁目10-6今井ビル16号室,03-5990-6100,
笹塚バルスケッチ,飲食,外国料理,スペイン料理,渋谷区笹塚3-14-1荻野荘1F,03-5309-2878,
笹塚ピザCamp,飲食,外国料理,イタリア料理,渋谷区笹塚1-57-15笹塚店舗2階,090-1423-1307,
笹よし,飲食,日本料理,日本料理,渋谷区幡ヶ谷2-30-2ヒマラヤクラウドビル1階,03-3374-3345,
さつま おてちきや,飲食,居酒屋,居酒屋,渋谷区渋谷2-8-4東和青山ビルB02,03-3400-7071,
sathi渋谷,飲食,外国料理,インド料理,渋谷区渋谷2-5-9パル青山101,03-3409-9667,
SUNNY LOT,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区神宮前1-1-8-102,070-1063-8000,https://www.toizm.com/sunnylot
サバス カフェバー アンド シーシャ ガーデン,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区初台2-1-3パラータ初台1F,03-5860-8335,
SUPPLY,飲食,外国料理,イタリア料理,渋谷区幡ヶ谷1-5-6金井ビル　1階,080-4335-3038,
SAM,飲食,外国料理,イタリア料理,渋谷区代々木4-45-5パークテラス参宮橋101,080-1135-0879,
更科,飲食,日本料理,そば・うどん,渋谷区初台1-39-10,03-3370-6034,
茶寮伊勢藤次郎,飲食,日本料理,日本料理,渋谷区渋谷2-21-1渋谷ヒカリエ7階,03-6434-1483,https://tabelog.com/tokyo/A1303/A130301/13140106/
サレ・ポワヴレ・ウノ,飲食,外国料理,フランス料理,渋谷区上原1-12-3サンフラッツFIKビル 1F,03-3466-0866,
彩わ,飲食,日本料理,小料理,渋谷区代々木3-43-1ガーリックビル103,03-6300-0991,
San.,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区上原1-2-1,090-4226-7724,
サンカフェ,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区恵比寿4-23-12　茗荷原ビル3階,03-3442-7479,
参宮橋あさや,飲食,日本料理,うなぎ,渋谷区代々木4-6-5,080-3466-3099,
参宮橋いぶさな,飲食,ステーキ・焼肉,ステーキ,渋谷区代々木4-10-7小淵ビル1F,03-6304-2728,
サングリア,飲食,外国料理,イタリア料理,渋谷区桜丘町17-10吉野ビル2階,03-3496-3697,
燦々,飲食,日本料理,日本料理,渋谷区宇田川町37-15ヨネクラハウス　1F,03-6416-8983,
さんじゅうろくどごぶのお昼ご飯,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区幡ヶ谷2-13-1平沼ビル201,03-5351-3605,
santafe,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区道玄坂2-7-21F,03-6455-3253,
さんだらぼっち,飲食,その他(バー・クラブ・スナックなど),スナック・パブ・キャバレー,渋谷区幡ヶ谷2-8-5近藤ビル2階,03-3374-2368,
SandoSando,飲食,外国料理,イタリア料理,渋谷区代々木4-50-8参宮橋ゲストハウス1階,03-6687-7713,
サンフォコン,飲食,外国料理,フランス料理,渋谷区西原3-5-3小林ビル1階,070-4383-3567,
三陸,飲食,居酒屋,居酒屋,渋谷区代々木1-39-11MFPR代々木タワー2F,03-3320-8800,
SALA ridente,飲食,外国料理,イタリア料理,渋谷区恵比寿西2-17-22アプリュスII 一階,03-6427-0440,
THAうちあげ,飲食,居酒屋,居酒屋,渋谷区笹塚2-7-9ライブイン笹塚1階,03-5351-0711,
THE OAK LEAF,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区東2-17-12十一ビル　1階,03-6427-2257,
THE GRUB 代々木上原,飲食,居酒屋,ダイニング・バー,渋谷区上原1-32-15第二小林ビル2階,03-6804-8714,
THE COFFEESHOP ROAST WORKS,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区富ヶ谷2-22-12Vitre Yoyogi Park 1F,03-6407-1344,
THE THEATRE TABLE,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区渋谷2-21-1渋谷ヒカリエ 11F,03-3486-8411,
The6Market,飲食,喫茶店・カフェ,その他,渋谷区上原1-17-10-101横山アパート,03-6314-3176,
THE TEST KITCHEN,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区恵比寿4丁目20-4恵比寿ガーデンプレイス グラススクエア B1F POTAL POINT Ebisu E,050-1745-7875,
THE BLUE POSTS,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区恵比寿1-8-14大黒ビル1階 28,070-8496-1242,
The Bake,飲食,その他(バー・クラブ・スナックなど),その他,渋谷区鶯谷町7-6磯田ビル1階,03-5428-3933,
THE LINKING アメリカンダイナー,飲食,ステーキ・焼肉,ステーキ,渋谷区神南1-14-9 第7FMGビル　1F,03-6416-5882,https://yoyaku.tabelog.com/yoyaku/smartphone/net_booking_form/index?rcd=13281122
ZANZIBAR,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区富ヶ谷1-43-23代々木公園ガーデニア102,03-3481-9179,
紫煙,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区道玄坂2-7-2東方ビル1F,03-6455-2276,
潮待ち,飲食,居酒屋,居酒屋,渋谷区上原1丁目34-10志賀屋ビル202号室,03-6804-8484,
シガニーベイクアンドコーヒー,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区上原1丁目17番7号　フレニティハウス2F,03-6804-7270,
四季ごはん 晴れ間。,飲食,日本料理,日本料理,渋谷区上原1-1-20,03-6804-9980,
志ぐれ,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区神山町10-8グランドゥール1階,03-6770-6589,
ししくら,飲食,日本料理,日本料理,渋谷区恵比寿1-25-3ルヴェドゥプランタン1階,03-6277-3866,
しじゅうから,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区東1-27-5シンエイ東ビル3階,03-6419-7525,
七福,飲食,その他(バー・クラブ・スナックなど),その他,渋谷区上原1-25-9,03-5454-8735,
七福餃子楼,飲食,居酒屋,居酒屋,渋谷区恵比寿南1-8-10,03-6303-0910,
6GRAMSstreet,飲食,居酒屋,ダイニング・バー,渋谷区恵比寿南2-1-11恵比寿A・Mビル1a,03-6303-3156,
シティ倶楽部,飲食,居酒屋,ダイニング・バー,渋谷区代々木2-23-1ニューステイトメナー114,03-5365-2212,
獅天鶏飯,飲食,外国料理,東南アジア料理,渋谷区渋谷3-18-10 大野ビル2号館2F,03-6811-1193,
獅天鶏飯ハナレ,飲食,外国料理,東南アジア料理,渋谷区渋谷1-24-7渋谷フラットビル2F,03-6712-5363,
渋2鮨 & Bar,飲食,日本料理,寿司,渋谷区渋谷2-7-13,03-3407-5777,https://goo.gl/maps/TrMXq5sQLu2imZoH7
shibuya101,飲食,居酒屋,ダイニング・バー,渋谷区宇田川町34-6M&Iビル3F-A,03-6416-4369,
渋谷花魁,飲食,居酒屋,ダイニング・バー,渋谷区道玄坂2丁目22-6ゴールデンヒルズA棟,03-5456-8782,
渋谷カフェ＆テラス BBQ Noan,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区宇田川町37番地16レジディア渋谷2F,03-5738-8455,
渋谷神山　聞弦坊,飲食,日本料理,そば・うどん,渋谷区神山町11-17日興パレス渋谷,03-5478-1157,
渋谷GABIGABI,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区道玄坂1-13-3MST道玄坂2階,03-3463-5538,
渋谷ゴルフクラブ,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区円山町25-7ファザーランド渋谷5階,080-4833-4400,
渋谷東急REIホテル　レストラン「ハシュハシュ」,飲食,外国料理,その他,渋谷区渋谷1-24-10,03-3498-0173,https://www.tokyuhotels.co.jp/shibuya-r/restaurant/index.html
渋谷のラジオラジ公ドリンクスタンド,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区渋谷2-21-1渋谷Hikarie ヒカリエデッキ 4階,03-6805-0282,
SHIBUYA BALL,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区宇田川町4番9号くれたけビル 4階,03-3476-6533,
渋谷フォルチェ,飲食,居酒屋,ビアホール,渋谷区道玄坂1-5-2渋谷SEDEビル5F,03-3476-7776,
Shibuya　Fromage　倶楽部　,飲食,居酒屋,ダイニング・バー,渋谷区道玄坂2-10-1,03-3464-2030,
渋谷ベルゴ,飲食,外国料理,その他,渋谷区渋谷3-18-7 B1F渋谷東一号館ビル,03-3409-4442,
渋谷マスダ亭,飲食,日本料理,お好み焼き,渋谷区宇田川町22-1マスダ亭,03-3462-0016,
シャイニーアウル表参道,飲食,外国料理,イタリア料理,渋谷区神宮前4-7-1,03-6851-4368,
シャイニーアウル富ヶ谷,飲食,日本料理,その他,渋谷区富ヶ谷1丁目35番23号,03-6772-4385,
写真集食堂　めぐたま,飲食,日本料理,日本料理,渋谷区東　3-2-7,03-6805-1838,
SHUTTERS表参道,飲食,外国料理,イタリア料理,渋谷区神宮前6-28-6キュープラザ原宿3F,03-6712-5077,https://tabelog.com/tokyo/A1306/A130601/13180219/
上海ダイニング嘉麟香(カリンシャン),飲食,外国料理,中国料理,渋谷区神宮前3-41-2岡本ビル2F,03-6434-0985,
上海飯店,飲食,外国料理,中国料理,渋谷区代々木4-10-9上海飯店,03-3370-3939,https://m.facebook.com/shanghaihanten.sangubashi/
上海飲茶猪八戒,飲食,外国料理,中国料理,渋谷区千駄ヶ谷1-7-11姉妹舎ビル1階,03-3401-3775,
シャンブル・アヴェク・ヴュ,飲食,外国料理,フランス料理,渋谷区富ヶ谷2丁目18番16号スカイガーデン代々木公園101,03-3467-6613,
SHARK COFFEE,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区宇田川町2-1渋谷ホームズ1F,03-6416-1237,https://www.instagram.com/sharkcoffee_shibuya/
しゅうじ食堂,飲食,日本料理,その他,渋谷区広尾1丁目9ー18雨宮ビル1F,070-8941-3772,
終日one,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区上原3-44-11高宏ビル 1F,03-5738-8501,https://shujitsu.com/
酒菜おたま,飲食,居酒屋,居酒屋,渋谷区幡ヶ谷1-9-6リッツ幡ヶ谷101,03-5350-4055,
CHURRASCO GANG 渋谷本店,飲食,居酒屋,居酒屋,渋谷区宇田川町31-1HULIC & New Shibuya　6F,080-7408-7717,
SHUWASHUWA PEACE,飲食,居酒屋,その他,渋谷区幡ヶ谷3-16-3幡ヶ谷ハウス102,03-6300-0313,
旬おばんざいと発酵酒肴　ただ今,飲食,日本料理,日本料理,渋谷区神泉町15-6,03-3461-6336,
旬彩居酒屋　吉の,飲食,居酒屋,居酒屋,渋谷区上原2-33-2ユニマットプルーポイント2階,03-3485-0327,
旬菜魚味家,飲食,日本料理,小料理,渋谷区広尾5-3-12,03-3473-1765,
昌,飲食,居酒屋,居酒屋,渋谷区神宮前6-7-16エムエスビル　B1F,03-3407-1534,
松月庵,飲食,日本料理,そば・うどん,渋谷区千駄ヶ谷4-30-5,03-3402-7836,
笑助,飲食,居酒屋,居酒屋,渋谷区西原3-4-5アミティ代々木上原1F,03-5454-8557,
松濤倶楽部,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区宇田川町37-12眞砂ビル地下一階,03-3465-1932,https://shotoclub.com/
松涛Mar,飲食,外国料理,イタリア料理,渋谷区松涛1-27-7東信松涛マンション101,03-3469-6920,
昭和歌謡居酒屋UFO,飲食,居酒屋,居酒屋,渋谷区千駄ヶ谷4丁目29-12千駄ヶ谷北参道ダイヤモンドパレス104,03-6804-5968,
食酒房ふさ助,飲食,居酒屋,居酒屋,渋谷区恵比寿西2-3-9浦ーMKYエビスビル102,03-3461-1993,
食堂ふくや,飲食,日本料理,日本料理,渋谷区神宮前3-22-4舘野ビル1階A,03-3478-3525,
初代 割烹 高橋,飲食,日本料理,日本料理,渋谷区上原2-48-11ハニハラビルB1F,03-6407-0565,
シルバースター,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区上原1-33-16オーツカビル103,03-3481-0831,
しろふわランドリー　初台南店,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区西原1丁目43-1デミシル代々幡　1階105号室,03-4405-6691,
しろふわランドリー笹塚南店,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区笹塚1-26-4J&Jハウス1F店舗,03-4405-6691,
しろふわランドリー幡ヶ谷北店,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区本町6-38-7アミティ幡ヶ谷1F店舗,03-4405-6691,
しんざ笑もん,飲食,ステーキ・焼肉,焼肉,渋谷区幡ヶ谷2丁目8番10号リッシェル幡ヶ谷101,03-5333-1129,
新宿251,飲食,居酒屋,居酒屋,渋谷区千駄ヶ谷5-32-5GSハイム新宿南口104,03-6380-6303,
神泉 遠藤利三郎商店,飲食,外国料理,フランス料理,渋谷区神泉町11-9ワインアパートメント 1F,03-6455-3460,https://next-gf.com/store/
